"Row","Column","Correlation"
"Genome_Size","Contamination",0.949551880519669
"Total_Coding_Sequences","Contamination",0.96096428330763
"n_genes_called","Contamination",0.961878946896644
"n_genes_mapped","Contamination",0.918476021503598
"n_contigs","Contamination",0.940685862277367
"Contamination","Genome_Size",0.949551880519669
"Total_Coding_Sequences","Genome_Size",0.997225771458713
"n_genes_called","Genome_Size",0.997026379786884
"n_genes_mapped","Genome_Size",0.976785608808758
"n_contigs","Genome_Size",0.978726091402595
"Contamination","Total_Coding_Sequences",0.96096428330763
"Genome_Size","Total_Coding_Sequences",0.997225771458713
"n_genes_called","Total_Coding_Sequences",0.999971910331646
"n_genes_mapped","Total_Coding_Sequences",0.97418633861213
"n_contigs","Total_Coding_Sequences",0.982758752802409
"Contamination","n_genes_called",0.961878946896644
"Genome_Size","n_genes_called",0.997026379786884
"Total_Coding_Sequences","n_genes_called",0.999971910331646
"n_genes_mapped","n_genes_called",0.973176867333015
"n_contigs","n_genes_called",0.981981711290241
"Contamination","n_genes_mapped",0.918476021503598
"Genome_Size","n_genes_mapped",0.976785608808758
"Total_Coding_Sequences","n_genes_mapped",0.97418633861213
"n_genes_called","n_genes_mapped",0.973176867333015
"n_contigs","n_genes_mapped",0.973024916119674
"Contamination","n_contigs",0.940685862277367
"Genome_Size","n_contigs",0.978726091402595
"Total_Coding_Sequences","n_contigs",0.982758752802409
"n_genes_called","n_contigs",0.981981711290241
"n_genes_mapped","n_contigs",0.973024916119674
"n_effective_surplus_clades","contamination_portion",0.945495674124258
"contamination_portion","n_effective_surplus_clades",0.945495674124258
"reference_representation_score","mean_hit_identity",0.91359420195515
"mean_hit_identity","reference_representation_score",0.91359420195515
