"Row","Column","Correlation"
"Total_Coding_Sequences","Genome_Size",0.994423694388426
"n_genes_called","Genome_Size",0.993708543106018
"n_genes_mapped","Genome_Size",0.99436356419112
"Genome_Size","Total_Coding_Sequences",0.994423694388426
"n_genes_called","Total_Coding_Sequences",0.99988889087344
"n_genes_mapped","Total_Coding_Sequences",0.999661108914231
"Genome_Size","n_genes_called",0.993708543106018
"Total_Coding_Sequences","n_genes_called",0.99988889087344
"n_genes_mapped","n_genes_called",0.99960992875795
"Genome_Size","n_genes_mapped",0.99436356419112
"Total_Coding_Sequences","n_genes_mapped",0.999661108914231
"n_genes_called","n_genes_mapped",0.99960992875795
"genes_retained_index","proportion_genes_retained_in_major_clades",0.945047543525071
"proportion_genes_retained_in_major_clades","genes_retained_index",0.945047543525071
"X23S","X16S",0.991068307619939
"X16S","X23S",0.991068307619939
