"Row","Column","Correlation"
"Genome_Size","Completeness",0.950706344102214
"Total_Coding_Sequences","Completeness",0.947460671728647
"n_genes_called","Completeness",0.946382055378658
"n_genes_mapped","Completeness",0.944639875563614
"tRNA","Completeness",0.930808348563379
"Completeness","Genome_Size",0.950706344102214
"Total_Coding_Sequences","Genome_Size",0.997340321983375
"n_genes_called","Genome_Size",0.997975917835644
"n_genes_mapped","Genome_Size",0.998186470715262
"tRNA","Genome_Size",0.902578001985258
"Completeness","Total_Coding_Sequences",0.947460671728647
"Genome_Size","Total_Coding_Sequences",0.997340321983375
"n_genes_called","Total_Coding_Sequences",0.999918496082664
"n_genes_mapped","Total_Coding_Sequences",0.999715050858473
"tRNA","Total_Coding_Sequences",0.902162394903443
"Completeness","n_genes_called",0.946382055378658
"Genome_Size","n_genes_called",0.997975917835644
"Total_Coding_Sequences","n_genes_called",0.999918496082664
"n_genes_mapped","n_genes_called",0.999880651623779
"tRNA","n_genes_called",0.901100973865849
"Completeness","n_genes_mapped",0.944639875563614
"Genome_Size","n_genes_mapped",0.998186470715262
"Total_Coding_Sequences","n_genes_mapped",0.999715050858473
"n_genes_called","n_genes_mapped",0.999880651623779
"tRNA","n_genes_mapped",0.900862810514724
"n_effective_surplus_clades","contamination_portion",0.981403374807011
"contamination_portion","n_effective_surplus_clades",0.981403374807011
"Completeness","tRNA",0.930808348563379
"Genome_Size","tRNA",0.902578001985258
"Total_Coding_Sequences","tRNA",0.902162394903443
"n_genes_called","tRNA",0.901100973865849
"n_genes_mapped","tRNA",0.900862810514724
"X23S","X16S",0.986858757969382
"X16S","X23S",0.986858757969382
