"Row","Column","Correlation"
"Total_Coding_Sequences","Genome_Size",0.991391744721215
"n_genes_called","Genome_Size",0.991087742510987
"n_genes_mapped","Genome_Size",0.982805388739881
"Genome_Size","Total_Coding_Sequences",0.991391744721215
"n_genes_called","Total_Coding_Sequences",0.999859219381062
"n_genes_mapped","Total_Coding_Sequences",0.98210292574549
"n_contigs","Total_Coding_Sequences",0.91204311189517
"Genome_Size","n_genes_called",0.991087742510987
"Total_Coding_Sequences","n_genes_called",0.999859219381062
"n_genes_mapped","n_genes_called",0.982668260320963
"n_contigs","n_genes_called",0.911953313118559
"Genome_Size","n_genes_mapped",0.982805388739881
"Total_Coding_Sequences","n_genes_mapped",0.98210292574549
"n_genes_called","n_genes_mapped",0.982668260320963
"n_contigs","n_genes_mapped",0.912274868835761
"Total_Coding_Sequences","n_contigs",0.91204311189517
"n_genes_called","n_contigs",0.911953313118559
"n_genes_mapped","n_contigs",0.912274868835761
"X23S","X16S",0.988184909657507
"X16S","X23S",0.988184909657507
