"Row","Column","Correlation"
"Total_Coding_Sequences","Genome_Size",0.994795407481129
"n_genes_called","Genome_Size",0.995376741440518
"n_genes_mapped","Genome_Size",0.996255895953164
"n_contigs","Genome_Size",0.930791178929097
"X16S","Genome_Size",0.915797034555816
"X23S","Genome_Size",0.919379045054767
"Genome_Size","Total_Coding_Sequences",0.994795407481129
"n_genes_called","Total_Coding_Sequences",0.999933303636505
"n_genes_mapped","Total_Coding_Sequences",0.994848525309488
"n_contigs","Total_Coding_Sequences",0.955461736633322
"X16S","Total_Coding_Sequences",0.906274647993897
"X23S","Total_Coding_Sequences",0.911379320952222
"Genome_Size","n_genes_called",0.995376741440518
"Total_Coding_Sequences","n_genes_called",0.999933303636505
"n_genes_mapped","n_genes_called",0.995524826818871
"n_contigs","n_genes_called",0.954192501251757
"X16S","n_genes_called",0.907072138418776
"X23S","n_genes_called",0.911988754902669
"Genome_Size","n_genes_mapped",0.996255895953164
"Total_Coding_Sequences","n_genes_mapped",0.994848525309488
"n_genes_called","n_genes_mapped",0.995524826818871
"n_contigs","n_genes_mapped",0.938294277233863
"X16S","n_genes_mapped",0.918063290411579
"X23S","n_genes_mapped",0.921774067975371
"Genome_Size","n_contigs",0.930791178929097
"Total_Coding_Sequences","n_contigs",0.955461736633322
"n_genes_called","n_contigs",0.954192501251757
"n_genes_mapped","n_contigs",0.938294277233863
"n_effective_surplus_clades","contamination_portion",0.901874551535103
"contamination_portion","n_effective_surplus_clades",0.901874551535103
"Genome_Size","X16S",0.915797034555816
"Total_Coding_Sequences","X16S",0.906274647993897
"n_genes_called","X16S",0.907072138418776
"n_genes_mapped","X16S",0.918063290411579
"X23S","X16S",0.990531767723026
"Genome_Size","X23S",0.919379045054767
"Total_Coding_Sequences","X23S",0.911379320952222
"n_genes_called","X23S",0.911988754902669
"n_genes_mapped","X23S",0.921774067975371
"X16S","X23S",0.990531767723026
