"Row","Column","Correlation"
"Total_Coding_Sequences","Genome_Size",0.997926522100079
"n_genes_called","Genome_Size",0.997757102034731
"n_genes_mapped","Genome_Size",0.976855555394561
"n_contigs","Genome_Size",0.972679409525855
"Genome_Size","Total_Coding_Sequences",0.997926522100079
"n_genes_called","Total_Coding_Sequences",0.999984825595278
"n_genes_mapped","Total_Coding_Sequences",0.985230798263273
"n_contigs","Total_Coding_Sequences",0.975136552481794
"Genome_Size","n_genes_called",0.997757102034731
"Total_Coding_Sequences","n_genes_called",0.999984825595278
"n_genes_mapped","n_genes_called",0.98577195340513
"n_contigs","n_genes_called",0.975022679268719
"Genome_Size","n_genes_mapped",0.976855555394561
"Total_Coding_Sequences","n_genes_mapped",0.985230798263273
"n_genes_called","n_genes_mapped",0.98577195340513
"n_contigs","n_genes_mapped",0.972095691648015
"Genome_Size","n_contigs",0.972679409525855
"Total_Coding_Sequences","n_contigs",0.975136552481794
"n_genes_called","n_contigs",0.975022679268719
"n_genes_mapped","n_contigs",0.972095691648015
"reference_representation_score","genes_retained_index",0.922798421386145
"n_effective_surplus_clades","contamination_portion",0.903895171911746
"contamination_portion","n_effective_surplus_clades",0.903895171911746
"reference_representation_score","mean_hit_identity",0.945845348980712
"genes_retained_index","reference_representation_score",0.922798421386145
"mean_hit_identity","reference_representation_score",0.945845348980712
"X23S","X16S",0.993255768952015
"X16S","X23S",0.993255768952015
