"Row","Column","Correlation"
"Genome_Size","Completeness",0.929114695539801
"Total_Coding_Sequences","Completeness",0.922813520200638
"n_genes_called","Completeness",0.922366462685333
"n_genes_mapped","Completeness",0.920640872776835
"tRNA","Completeness",0.902661345193696
"Completeness","Genome_Size",0.929114695539801
"Total_Coding_Sequences","Genome_Size",0.998369606395771
"n_genes_called","Genome_Size",0.998020753601437
"n_genes_mapped","Genome_Size",0.997712260114908
"Completeness","Total_Coding_Sequences",0.922813520200638
"Genome_Size","Total_Coding_Sequences",0.998369606395771
"n_genes_called","Total_Coding_Sequences",0.999814993695374
"n_genes_mapped","Total_Coding_Sequences",0.997763118219994
"Completeness","n_genes_called",0.922366462685333
"Genome_Size","n_genes_called",0.998020753601437
"Total_Coding_Sequences","n_genes_called",0.999814993695374
"n_genes_mapped","n_genes_called",0.997974589346317
"Completeness","n_genes_mapped",0.920640872776835
"Genome_Size","n_genes_mapped",0.997712260114908
"Total_Coding_Sequences","n_genes_mapped",0.997763118219994
"n_genes_called","n_genes_mapped",0.997974589346317
"reference_representation_score","genes_retained_index",0.911172814308744
"n_effective_surplus_clades","contamination_portion",0.979348637162866
"contamination_portion","n_effective_surplus_clades",0.979348637162866
"genes_retained_index","reference_representation_score",0.911172814308744
"Completeness","tRNA",0.902661345193696
"X23S","X16S",0.986815641899352
"X16S","X23S",0.986815641899352
