"Row","Column","Correlation"
"Total_Coding_Sequences","Genome_Size",0.993366073937089
"n_genes_called","Genome_Size",0.991960185810292
"n_genes_mapped","Genome_Size",0.991766425588813
"Genome_Size","Total_Coding_Sequences",0.993366073937089
"n_genes_called","Total_Coding_Sequences",0.999800414886898
"n_genes_mapped","Total_Coding_Sequences",0.99943182641241
"Genome_Size","n_genes_called",0.991960185810292
"Total_Coding_Sequences","n_genes_called",0.999800414886898
"n_genes_mapped","n_genes_called",0.999549967556072
"Genome_Size","n_genes_mapped",0.991766425588813
"Total_Coding_Sequences","n_genes_mapped",0.99943182641241
"n_genes_called","n_genes_mapped",0.999549967556072
"n_effective_surplus_clades","contamination_portion",0.994717693895556
"contamination_portion","n_effective_surplus_clades",0.994717693895556
"reference_representation_score","mean_hit_identity",0.901453521836385
"mean_hit_identity","reference_representation_score",0.901453521836385
"X23S","X16S",0.99406078182827
"X16S","X23S",0.99406078182827
