"Row","Column","Correlation"
"Total_Coding_Sequences","Genome_Size",0.99936467172995
"n_genes_called","Genome_Size",0.999337550051535
"n_genes_mapped","Genome_Size",0.996684375998818
"n_contigs","Genome_Size",0.996291162167179
"X16S","Genome_Size",0.923824712210768
"Genome_Size","Total_Coding_Sequences",0.99936467172995
"n_genes_called","Total_Coding_Sequences",0.999996658794009
"n_genes_mapped","Total_Coding_Sequences",0.998451934942323
"n_contigs","Total_Coding_Sequences",0.995689225566731
"X16S","Total_Coding_Sequences",0.925424998153906
"Genome_Size","n_genes_called",0.999337550051535
"Total_Coding_Sequences","n_genes_called",0.999996658794009
"n_genes_mapped","n_genes_called",0.998418418717025
"n_contigs","n_genes_called",0.995533130323698
"X16S","n_genes_called",0.92520900290138
"Genome_Size","n_genes_mapped",0.996684375998818
"Total_Coding_Sequences","n_genes_mapped",0.998451934942323
"n_genes_called","n_genes_mapped",0.998418418717025
"n_contigs","n_genes_mapped",0.993183532842361
"X16S","n_genes_mapped",0.928107755746397
"Genome_Size","n_contigs",0.996291162167179
"Total_Coding_Sequences","n_contigs",0.995689225566731
"n_genes_called","n_contigs",0.995533130323698
"n_genes_mapped","n_contigs",0.993183532842361
"X16S","n_contigs",0.922879461681993
"reference_representation_score","mean_hit_identity",0.903390882948618
"mean_hit_identity","reference_representation_score",0.903390882948618
"Genome_Size","X16S",0.923824712210768
"Total_Coding_Sequences","X16S",0.925424998153906
"n_genes_called","X16S",0.92520900290138
"n_genes_mapped","X16S",0.928107755746397
"n_contigs","X16S",0.922879461681993
"X5S","X16S",0.935164398221238
"X23S","X16S",0.964241096621797
"X16S","X5S",0.935164398221238
"X23S","X5S",0.907056495884979
"X16S","X23S",0.964241096621797
"X5S","X23S",0.907056495884979
