"Row","Column","Correlation"
"genes_retained_index","Coding_Density",0.905913142700043
"mean_hit_identity","Coding_Density",0.907572521678772
"reference_representation_score","Coding_Density",0.907844962992321
"Total_Coding_Sequences","Genome_Size",0.979967089121215
"n_genes_called","Genome_Size",0.955870235930516
"Genome_Size","Total_Coding_Sequences",0.979967089121215
"n_genes_called","Total_Coding_Sequences",0.993927046049765
"Genome_Size","n_genes_called",0.955870235930516
"Total_Coding_Sequences","n_genes_called",0.993927046049765
"Coding_Density","genes_retained_index",0.905913142700043
"mean_hit_identity","genes_retained_index",0.986589284289421
"reference_representation_score","genes_retained_index",0.995936952200619
"n_effective_surplus_clades","contamination_portion",0.997893542288836
"contamination_portion","n_effective_surplus_clades",0.997893542288836
"Coding_Density","mean_hit_identity",0.907572521678772
"genes_retained_index","mean_hit_identity",0.986589284289421
"reference_representation_score","mean_hit_identity",0.995228529828367
"Coding_Density","reference_representation_score",0.907844962992321
"genes_retained_index","reference_representation_score",0.995936952200619
"mean_hit_identity","reference_representation_score",0.995228529828367
"X23S","X16S",1
"X16S","X23S",1
