"Row","Column","Correlation"
"tRNA","Completeness",0.964716892189515
"Total_Coding_Sequences","Genome_Size",0.99273542362627
"n_genes_called","Genome_Size",0.99262236640587
"n_genes_mapped","Genome_Size",0.990944574723214
"Genome_Size","Total_Coding_Sequences",0.99273542362627
"n_genes_called","Total_Coding_Sequences",0.999838363503246
"n_genes_mapped","Total_Coding_Sequences",0.999451062210346
"Genome_Size","n_genes_called",0.99262236640587
"Total_Coding_Sequences","n_genes_called",0.999838363503246
"n_genes_mapped","n_genes_called",0.99967306264502
"Genome_Size","n_genes_mapped",0.990944574723214
"Total_Coding_Sequences","n_genes_mapped",0.999451062210346
"n_genes_called","n_genes_mapped",0.99967306264502
"n_effective_surplus_clades","contamination_portion",0.99184692438688
"contamination_portion","n_effective_surplus_clades",0.99184692438688
"reference_representation_score","mean_hit_identity",0.936402454996941
"mean_hit_identity","reference_representation_score",0.936402454996941
"Completeness","tRNA",0.964716892189515
"X23S","X16S",0.997295099787175
"X16S","X23S",0.997295099787175
