"Row","Column","Correlation"
"n_genes_mapped","Completeness",0.929404982016491
"Total_Coding_Sequences","Genome_Size",0.97696179489267
"n_genes_called","Genome_Size",0.959936584692499
"Genome_Size","Total_Coding_Sequences",0.97696179489267
"n_genes_called","Total_Coding_Sequences",0.997233900252934
"Genome_Size","n_genes_called",0.959936584692499
"Total_Coding_Sequences","n_genes_called",0.997233900252934
"n_genes_mapped","n_genes_called",0.917522588598116
"Completeness","n_genes_mapped",0.929404982016491
"n_genes_called","n_genes_mapped",0.917522588598116
"mean_hit_identity","genes_retained_index",0.928518751244475
"reference_representation_score","genes_retained_index",0.973254371970062
"n_effective_surplus_clades","contamination_portion",0.98825175267368
"contamination_portion","n_effective_surplus_clades",0.98825175267368
"genes_retained_index","mean_hit_identity",0.928518751244475
"reference_representation_score","mean_hit_identity",0.981705467905577
"genes_retained_index","reference_representation_score",0.973254371970062
"mean_hit_identity","reference_representation_score",0.981705467905577
"X23S","X16S",0.992475773809042
"X16S","X23S",0.992475773809042
